Date,Close,High,Low,Open,Volume
2026-01-28,5043.5,5075.0,4750.0,4759.0,419235
2026-01-29,5474.0,5547.5,4983.5,5050.0,2492153
2026-01-30,5578.5,5605.5,5400.0,5440.0,634906
2026-02-02,5468.0,5537.0,5368.5,5490.0,156864
2026-02-03,5668.5,5769.0,5608.0,5641.5,646658
2026-02-04,5755.0,5867.0,5582.5,5661.0,509746
2026-02-05,5770.0,5840.5,5663.0,5750.0,205411
2026-02-06,5816.0,5845.0,5726.5,5769.0,304093
2026-02-09,5815.5,5850.0,5748.0,5845.0,137449
2026-02-10,5870.0,5884.0,5806.0,5850.0,155125
2026-02-11,5825.5,5861.0,5781.0,5851.0,91365
2026-02-12,5788.5,5864.5,5760.0,5819.0,169801
2026-02-13,5780.5,5855.0,5726.5,5788.5,152957
2026-02-16,5888.0,5914.0,5742.5,5781.0,188248
2026-02-17,5836.0,5940.0,5806.0,5922.5,116120
2026-02-18,5881.5,5909.0,5771.5,5836.0,178419
2026-02-19,5719.5,5908.0,5695.0,5885.0,136031
2026-02-20,5987.0,6246.0,5719.5,5725.0,4034978
2026-02-23,5917.5,6090.0,5775.0,6090.0,831004
2026-02-24,6056.0,6075.0,5881.5,5881.5,782563
2026-02-25,6167.5,6180.0,6046.5,6101.0,363747
2026-02-26,6133.0,6205.5,6110.5,6170.0,283878
2026-02-27,6073.0,6128.0,6039.0,6128.0,602254
2026-03-02,5983.0,6073.0,5835.0,5840.0,275442
2026-03-04,5830.5,5911.5,5793.5,5900.0,275613
2026-03-05,5929.0,6000.5,5833.5,5844.0,268401
2026-03-06,6062.0,6118.0,5869.0,5900.0,377080
2026-03-09,5982.5,6000.0,5853.0,5982.0,249926
2026-03-10,6224.5,6250.0,6032.0,6032.5,474110
2026-03-11,6280.0,6325.0,6181.0,6230.0,599883
2026-03-12,6409.0,6429.5,6146.0,6242.0,596298
2026-03-13,6392.5,6554.0,6339.5,6439.5,1070957
2026-03-16,6218.0,6417.0,6162.5,6400.0,371084
2026-03-17,6310.5,6337.5,6176.5,6237.5,297126
2026-03-18,6337.5,6415.5,6280.5,6320.5,280678
2026-03-19,6214.0,6322.0,6178.5,6261.0,212355
2026-03-20,6297.0,6380.0,6250.0,6250.0,274862
2026-03-23,6041.5,6264.0,5975.0,6264.0,274731
2026-03-24,6162.0,6244.5,6045.0,6200.0,280421
2026-03-25,6212.5,6290.0,6185.5,6200.0,231844
2026-03-27,6105.0,6190.0,5987.0,6190.0,425645
2026-03-30,5941.5,6100.0,5911.0,5995.0,342351
2026-04-01,6063.0,6188.5,6012.0,6180.0,339497
2026-04-02,6142.0,6158.0,5916.5,6021.5,275527
2026-04-06,6193.5,6247.5,6088.0,6150.0,259645
2026-04-07,6269.0,6280.0,6081.5,6175.0,253657
2026-04-08,6565.0,6584.5,6370.0,6399.0,626418
2026-04-09,6614.0,6642.0,6483.5,6575.0,591302
2026-04-10,6859.5,6905.5,6612.5,6642.0,798909
2026-04-13,6828.5,6878.5,6688.0,6725.0,320237
2026-04-15,6873.0,6993.0,6844.0,6890.0,499662
2026-04-16,6883.5,6907.0,6732.5,6873.5,548523
2026-04-17,7029.5,7083.0,6833.5,6880.0,558816
2026-04-20,7158.0,7319.5,6993.5,7054.5,559841
2026-04-21,7255.0,7300.0,7184.0,7200.0,260767
2026-04-22,7587.0,7822.5,7161.0,7253.0,1729200
2026-04-23,7575.5,7650.0,7533.5,7587.0,376857
2026-04-24,7328.5,7594.0,7304.0,7575.5,343502
2026-04-27,7430.5,7475.0,7282.5,7330.5,267337
2026-04-28,7265.0,7490.0,7262.5,7449.0,174636
