Date,Close,High,Low,Open,Volume
2026-01-28,9433.5,9533.5,9250.0,9500.0,342407
2026-01-29,9512.0,9533.0,9381.5,9475.0,390096
2026-01-30,9597.5,9626.0,9382.5,9497.0,283660
2026-02-02,9496.5,9523.0,9250.5,9454.5,327240
2026-02-03,9595.5,9941.0,9515.0,9933.0,573385
2026-02-04,9639.0,9725.0,9529.5,9594.0,201083
2026-02-05,9647.0,9679.0,9600.0,9640.0,155663
2026-02-06,9518.5,9668.0,9471.5,9620.0,198790
2026-02-09,9590.0,9626.5,9505.0,9598.0,171033
2026-02-10,9774.0,9833.5,9582.5,9605.0,347018
2026-02-11,9869.5,9905.5,9796.0,9818.0,324008
2026-02-12,9840.0,9930.0,9809.5,9876.5,372062
2026-02-13,9760.0,9900.5,9720.0,9800.5,120688
2026-02-16,9697.5,9774.5,9643.0,9710.0,88321
2026-02-17,9826.5,9869.0,9632.5,9651.0,159113
2026-02-18,9980.0,10009.0,9804.5,9826.5,334455
2026-02-19,9729.0,10059.5,9701.0,9991.0,310761
2026-02-20,9807.0,9823.0,9670.5,9725.0,291070
2026-02-23,9905.5,9930.0,9814.0,9851.0,145464
2026-02-24,9829.0,9875.0,9660.0,9875.0,259761
2026-02-25,10097.0,10160.0,9839.5,9859.5,334366
2026-02-26,10110.0,10187.0,10029.5,10146.5,177814
2026-02-27,9972.5,10091.5,9940.0,10072.5,231926
2026-03-02,9776.0,9941.5,9565.0,9725.5,330330
2026-03-04,9652.5,9704.5,9516.5,9516.5,319652
2026-03-05,9804.5,9853.0,9641.0,9674.5,300749
2026-03-06,9816.0,9884.5,9690.0,9780.0,386552
2026-03-09,9383.0,9645.5,9351.0,9600.0,334501
2026-03-10,9610.0,9637.5,9349.0,9449.5,463535
2026-03-11,9327.5,9666.0,9270.0,9575.0,489382
2026-03-12,9162.0,9280.0,9080.0,9280.0,390062
2026-03-13,8875.0,9119.5,8832.5,9075.0,435631
2026-03-16,9073.0,9103.5,8742.5,8866.0,580318
2026-03-17,9110.0,9250.0,9006.5,9100.0,245258
2026-03-18,9271.0,9288.0,9136.5,9150.0,247437
2026-03-19,8868.5,9150.0,8811.0,9113.5,288162
2026-03-20,9051.0,9110.0,8931.5,8957.5,356410
2026-03-23,8776.0,8989.5,8752.0,8989.5,375189
2026-03-24,8898.0,9022.5,8792.0,8900.0,438132
2026-03-25,9048.5,9149.5,8981.0,9020.0,438761
2026-03-27,8901.0,9004.0,8840.0,8971.5,326675
2026-03-30,8781.5,8889.0,8745.0,8810.0,325094
2026-04-01,8895.5,9170.0,8870.0,8993.5,416423
2026-04-02,8758.5,8835.5,8624.0,8835.5,254975
2026-04-06,8942.5,8984.5,8755.0,8778.5,313792
2026-04-07,9049.5,9088.0,8800.5,8900.0,376810
2026-04-08,9366.0,9501.0,9262.0,9365.0,474100
2026-04-09,9517.0,9625.0,9366.0,9455.0,539407
2026-04-10,9813.5,9844.0,9399.5,9400.0,738971
2026-04-13,9816.0,9851.0,9700.0,9701.5,363886
2026-04-15,9865.0,9976.0,9830.0,9901.5,551624
2026-04-16,9825.0,9918.5,9746.0,9871.0,479220
2026-04-17,9773.5,9830.0,9722.0,9810.0,264575
2026-04-20,9803.0,9862.5,9690.0,9773.5,349985
2026-04-21,9793.0,9874.0,9741.0,9803.0,291287
2026-04-22,9602.0,9790.5,9585.0,9770.5,301870
2026-04-23,9550.5,9591.0,9477.0,9575.0,444028
2026-04-24,9576.0,9663.0,9528.0,9600.0,190469
2026-04-27,9662.0,9715.0,9617.0,9642.5,147736
2026-04-28,9549.0,9662.5,9510.0,9622.0,143611
