Date,Close,High,Low,Open,Volume
2026-01-28,10704.0,10754.0,10580.0,10582.0,50260
2026-01-29,10727.0,10775.0,10641.0,10749.0,37478
2026-01-30,10800.0,10860.0,10640.0,10640.0,66246
2026-02-02,10661.0,10697.0,10400.0,10560.0,46807
2026-02-03,10915.0,11035.0,10800.0,10800.0,83810
2026-02-04,10889.0,11086.0,10827.0,10915.0,48360
2026-02-05,10891.0,11310.0,10816.0,11000.0,211732
2026-02-06,10999.0,11023.0,10675.0,10915.0,53765
2026-02-09,11101.0,11139.0,10957.0,11032.0,52907
2026-02-10,11081.0,11150.0,11005.0,11063.0,33459
2026-02-11,11111.0,11195.0,11015.0,11097.0,28692
2026-02-12,11040.0,11181.0,11000.0,11113.0,24946
2026-02-13,10881.0,11040.0,10821.0,11040.0,32683
2026-02-16,11133.0,11239.0,10862.0,10881.0,46053
2026-02-17,11217.0,11274.0,11033.0,11205.0,34140
2026-02-18,11413.0,11440.0,11226.0,11236.0,58482
2026-02-19,11188.0,11460.0,11100.0,11388.0,68967
2026-02-20,11188.0,11217.0,10949.0,11188.0,61661
2026-02-23,11501.0,11632.0,11150.0,11220.0,137005
2026-02-24,11330.0,11558.0,11261.0,11524.0,62913
2026-02-25,11166.0,11449.0,11112.0,11400.0,114964
2026-02-26,10951.0,11224.0,10880.0,11184.0,109416
2026-02-27,10804.0,11060.0,10767.0,10980.0,83861
2026-03-02,10695.0,10720.0,10400.0,10400.0,35739
2026-03-04,10651.0,10681.0,10485.0,10499.0,54569
2026-03-05,10663.0,10726.0,10540.0,10658.0,36502
2026-03-06,10560.0,10791.0,10543.0,10600.0,29688
2026-03-09,10250.0,10489.0,10200.0,10481.0,53369
2026-03-10,10289.0,10352.0,10111.0,10308.0,59081
2026-03-11,10177.0,10419.0,10110.0,10300.0,66296
2026-03-12,9789.0,10103.0,9760.0,10102.0,83281
2026-03-13,9506.0,9856.0,9482.0,9768.0,60848
2026-03-16,9631.0,9691.0,9345.0,9506.0,46038
2026-03-17,9663.0,9729.0,9531.0,9630.0,31655
2026-03-18,9859.0,9900.0,9657.0,9663.0,32315
2026-03-19,9674.0,9781.0,9630.0,9781.0,74131
2026-03-20,9512.0,9794.0,9470.0,9705.0,42855
2026-03-23,9162.0,9498.0,9088.0,9466.0,46331
2026-03-24,9337.0,9436.0,9211.0,9252.0,46884
2026-03-25,9554.0,9662.0,9401.0,9401.0,49122
2026-03-27,9150.0,9531.0,9120.0,9464.0,131105
2026-03-30,8746.0,9090.0,8712.0,9026.0,108922
2026-04-01,8907.0,9166.0,8831.5,8999.0,71648
2026-04-02,8992.5,9020.0,8588.0,8780.0,52733
2026-04-06,9131.0,9190.0,8838.0,9037.0,48445
2026-04-07,9237.0,9300.0,8933.0,9077.0,46495
2026-04-08,9970.0,10100.5,9450.0,9500.0,101490
2026-04-09,9912.5,10090.0,9879.0,9961.5,54813
2026-04-10,9997.5,10118.5,9924.0,9990.0,42980
2026-04-13,9858.0,10022.0,9795.0,9846.0,39203
2026-04-15,10058.5,10167.5,9942.5,10004.5,53511
2026-04-16,10205.0,10260.0,10098.0,10173.0,81617
2026-04-17,10355.5,10401.0,10150.5,10210.0,47900
2026-04-20,10388.0,10496.0,10302.0,10400.0,38761
2026-04-21,10329.0,10449.0,10304.5,10375.0,20317
2026-04-22,10376.0,10425.5,10300.0,10355.0,25978
2026-04-23,10376.5,10583.0,10252.0,10350.5,50640
2026-04-24,10259.5,10450.0,10210.0,10351.5,32677
2026-04-27,10333.5,10420.0,10255.5,10310.0,20642
2026-04-28,10279.5,10392.0,10260.0,10333.5,40268
