Date,Close,High,Low,Open,Volume
2026-01-28,36185.0,36285.0,35035.0,35500.0,15229
2026-01-29,36015.0,36335.0,35750.0,35960.0,16931
2026-01-30,36530.0,36750.0,35555.0,35900.0,24729
2026-02-02,36605.0,36720.0,35670.0,36000.0,11666
2026-02-03,37740.0,37995.0,37235.0,37995.0,28817
2026-02-04,36710.0,38620.0,36320.0,37700.0,33811
2026-02-05,36275.0,36745.0,36070.0,36710.0,16466
2026-02-06,36340.0,36460.0,35775.0,36275.0,18833
2026-02-09,35630.0,36680.0,35525.0,36630.0,31240
2026-02-10,35575.0,35925.0,35200.0,35650.0,19847
2026-02-11,36570.0,36645.0,35440.0,35580.0,24918
2026-02-12,36495.0,36750.0,36310.0,36570.0,9373
2026-02-13,35695.0,36420.0,35600.0,36415.0,13848
2026-02-16,35485.0,35805.0,35275.0,35695.0,9980
2026-02-17,35370.0,35655.0,35220.0,35485.0,12706
2026-02-18,35695.0,35775.0,35205.0,35430.0,10776
2026-02-19,35015.0,35960.0,34890.0,35800.0,10448
2026-02-20,35215.0,35665.0,34730.0,35055.0,25449
2026-02-23,35340.0,35630.0,35140.0,35165.0,9208
2026-02-24,35330.0,35490.0,34855.0,35320.0,11570
2026-02-25,36570.0,37455.0,35430.0,35430.0,62472
2026-02-26,36740.0,36825.0,36200.0,36590.0,16218
2026-02-27,36425.0,36835.0,35960.0,36795.0,32321
2026-03-02,35370.0,36175.0,35000.0,35855.0,20579
2026-03-04,33390.0,34900.0,33300.0,34900.0,50693
2026-03-05,33230.0,33715.0,33005.0,33450.0,22632
2026-03-06,33335.0,33610.0,32920.0,33305.0,17779
2026-03-09,31600.0,32850.0,31470.0,32850.0,23866
2026-03-10,32080.0,32270.0,31650.0,31940.0,17509
2026-03-11,31715.0,32430.0,31620.0,32175.0,18909
2026-03-12,31305.0,31620.0,30815.0,31620.0,27041
2026-03-13,30185.0,31325.0,30100.0,31000.0,20427
2026-03-16,30355.0,30580.0,29815.0,30260.0,16874
2026-03-17,30645.0,30910.0,30390.0,30595.0,11579
2026-03-18,31005.0,31275.0,30635.0,30780.0,14836
2026-03-19,30135.0,30600.0,29945.0,30520.0,12551
2026-03-20,30390.0,30825.0,30280.0,30300.0,30424
2026-03-23,29135.0,30300.0,29000.0,30220.0,25264
2026-03-24,30080.0,30250.0,29400.0,29650.0,27727
2026-03-25,30390.0,30705.0,30180.0,30340.0,17887
2026-03-27,29615.0,30480.0,29515.0,30395.0,31803
2026-03-30,28745.0,29470.0,28610.0,29220.0,39061
2026-04-01,30635.0,31085.0,29120.0,29445.0,70699
2026-04-02,32135.0,32325.0,29900.0,30035.0,85448
2026-04-06,33460.0,33535.0,32155.0,32155.0,65114
2026-04-07,33445.0,33800.0,32555.0,33360.0,57128
2026-04-08,35935.0,36300.0,34250.0,34250.0,107352
2026-04-09,36770.0,37570.0,35825.0,36180.0,262676
2026-04-10,37330.0,37670.0,36850.0,36990.0,83719
2026-04-13,36615.0,37385.0,36420.0,36665.0,57408
2026-04-15,37080.0,37235.0,36415.0,37100.0,92805
2026-04-16,37440.0,37565.0,36950.0,37375.0,31261
2026-04-17,37505.0,37935.0,37200.0,37445.0,28289
2026-04-20,37790.0,38195.0,37225.0,37700.0,36644
2026-04-21,38100.0,38360.0,37790.0,37790.0,24080
2026-04-22,37885.0,38395.0,37765.0,38110.0,26733
2026-04-23,37380.0,37905.0,37210.0,37885.0,20767
2026-04-24,36690.0,37690.0,36295.0,37495.0,30157
2026-04-27,37225.0,37460.0,36730.0,36800.0,30944
2026-04-28,37345.0,37420.0,37125.0,37180.0,11823
