Date,Close,High,Low,Open,Volume
2026-01-28,7071.0,7124.0,6851.0,7124.0,856378
2026-01-29,7056.5,7108.5,6978.0,7071.5,632904
2026-01-30,7122.5,7151.0,6980.0,6980.0,454539
2026-02-02,6985.5,6997.0,6738.0,6805.0,490854
2026-02-03,7215.0,7258.5,7053.0,7200.0,689971
2026-02-04,7277.5,7328.0,7170.5,7215.0,260280
2026-02-05,7209.5,7309.5,7176.5,7290.0,254212
2026-02-06,7177.5,7209.5,7110.5,7209.5,251800
2026-02-09,7195.5,7219.5,7063.5,7116.0,314215
2026-02-10,7296.0,7325.0,7201.0,7280.0,467662
2026-02-11,7771.0,7805.0,7501.0,7505.0,2286430
2026-02-12,7943.0,7968.0,7760.0,7779.5,1107781
2026-02-13,8065.0,8119.0,7886.5,7900.0,967939
2026-02-16,8010.5,8084.5,7968.5,8078.5,589984
2026-02-17,8035.0,8051.5,7925.0,7981.0,266572
2026-02-18,8009.5,8043.5,7945.0,8024.0,223326
2026-02-19,7897.0,8140.0,7884.0,8036.0,424777
2026-02-20,7936.5,7978.0,7885.5,7894.5,264059
2026-02-23,8038.5,8057.5,7937.5,7990.0,247249
2026-02-24,7929.0,8059.5,7902.0,7990.0,430812
2026-02-25,8008.0,8082.0,7772.0,7930.0,618719
2026-02-26,8190.0,8225.0,8024.5,8040.0,427401
2026-02-27,8010.5,8230.0,7987.0,8220.0,774354
2026-03-02,7826.0,7996.5,7715.5,7800.0,494148
2026-03-04,7626.5,7705.0,7571.5,7700.0,593728
2026-03-05,7755.0,7801.5,7615.0,7705.0,568151
2026-03-06,7620.5,7735.0,7603.0,7733.0,366235
2026-03-09,7266.0,7517.0,7237.0,7517.0,554984
2026-03-10,7536.5,7566.5,7338.5,7380.0,494730
2026-03-11,7253.5,7574.0,7227.0,7574.0,621563
2026-03-12,6975.5,7227.5,6961.0,7175.0,1259945
2026-03-13,6741.0,6942.5,6670.0,6865.0,819255
2026-03-16,6827.5,6861.5,6643.5,6701.0,866087
2026-03-17,6910.0,6974.5,6770.0,6827.5,555865
2026-03-18,7027.5,7068.0,6971.0,6984.0,557181
2026-03-19,6793.0,6943.5,6750.0,6929.0,629473
2026-03-20,6909.0,6928.0,6802.5,6802.5,575123
2026-03-23,6681.5,6831.5,6661.0,6790.0,380052
2026-03-24,6871.0,6966.5,6753.0,6800.0,723633
2026-03-25,6992.5,7073.0,6904.0,6988.0,490390
2026-03-27,6811.5,6916.5,6742.0,6915.0,533428
2026-03-30,6586.0,6784.0,6571.5,6730.5,1015357
2026-04-01,6825.5,6891.5,6750.0,6787.5,736957
2026-04-02,6649.5,6766.0,6585.0,6766.0,660432
2026-04-06,6596.0,6710.5,6572.5,6699.0,971230
2026-04-07,6605.5,6660.5,6442.0,6550.0,1150553
2026-04-08,7131.0,7170.0,6851.5,6899.5,917337
2026-04-09,7147.5,7180.5,7037.0,7147.0,648216
2026-04-10,7424.0,7435.5,7201.0,7201.0,705365
2026-04-13,7050.0,7270.5,7037.0,7150.0,1246861
2026-04-15,7128.0,7199.5,7075.0,7160.0,913138
2026-04-16,7131.0,7198.5,7052.0,7160.0,573155
2026-04-17,7189.5,7200.0,7062.0,7130.5,582841
2026-04-20,7243.0,7264.0,7115.0,7160.5,695282
2026-04-21,7240.5,7296.0,7215.0,7243.0,353002
2026-04-22,7230.0,7267.0,7136.5,7215.0,497850
2026-04-23,7092.5,7195.5,7062.0,7195.5,481927
2026-04-24,7111.5,7160.0,7049.0,7054.5,413746
2026-04-27,7174.0,7214.0,7102.0,7150.0,335662
2026-04-28,7085.0,7254.0,7053.0,7170.0,367378
