Date,Close,High,Low,Open,Volume
2026-01-28,493.6499938964844,495.29998779296875,485.29998779296875,488.0,1030723
2026-01-29,488.3999938964844,497.3999938964844,485.29998779296875,493.54998779296875,1099442
2026-01-30,497.04998779296875,500.20001220703125,483.04998779296875,487.0,3196265
2026-02-02,496.45001220703125,497.79998779296875,488.45001220703125,493.8999938964844,779665
2026-02-03,506.5,520.0,501.6000061035156,520.0,1605604
2026-02-04,516.5999755859375,520.0,501.29998779296875,503.75,818446
2026-02-05,545.0999755859375,547.5,515.9500122070312,516.0,6629518
2026-02-06,544.25,545.5,533.0,540.5,1345771
2026-02-09,548.3499755859375,550.9500122070312,544.0499877929688,544.25,788188
2026-02-10,554.4500122070312,559.9000244140625,547.3499755859375,548.0,1906312
2026-02-11,547.0,575.0,538.75,570.0,10490938
2026-02-12,540.75,545.3499755859375,534.0,544.3499755859375,1901959
2026-02-13,533.0999755859375,543.6500244140625,525.25,540.75,1514289
2026-02-16,534.5499877929688,536.0,526.0999755859375,532.9500122070312,541328
2026-02-17,530.9500122070312,536.4000244140625,528.2000122070312,533.0999755859375,661200
2026-02-18,524.0499877929688,533.4000244140625,522.2999877929688,531.0,986314
2026-02-19,524.75,528.0999755859375,522.0499877929688,523.0499877929688,834188
2026-02-20,532.4000244140625,540.4000244140625,523.0,523.0,1977021
2026-02-23,536.0999755859375,537.6500244140625,529.5499877929688,532.4000244140625,1456796
2026-02-24,518.9000244140625,535.0499877929688,513.6500244140625,535.0,3283010
2026-02-25,517.9500122070312,525.5499877929688,510.45001220703125,518.9000244140625,1325873
2026-02-26,516.1500244140625,525.0,510.6499938964844,520.5,1033265
2026-02-27,519.9000244140625,536.7999877929688,508.0,514.0,8947909
2026-03-02,505.6499938964844,509.79998779296875,500.0,500.0,1497360
2026-03-04,499.5,510.0,495.0,497.8500061035156,3801903
2026-03-05,500.5,506.8999938964844,492.54998779296875,500.0,1708258
2026-03-06,492.0,503.0,490.25,500.0,1716661
2026-03-09,488.6499938964844,491.6000061035156,477.29998779296875,481.0,1841013
2026-03-10,482.3500061035156,493.95001220703125,478.04998779296875,488.6499938964844,3219335
2026-03-11,473.25,483.1499938964844,471.20001220703125,480.1000061035156,2520552
2026-03-12,461.75,470.0,452.0,470.0,4042856
2026-03-13,458.1499938964844,467.04998779296875,453.0,462.3999938964844,1906381
2026-03-16,467.79998779296875,472.20001220703125,448.3500061035156,460.0,2085255
2026-03-17,465.75,471.54998779296875,460.1000061035156,467.79998779296875,1940585
2026-03-18,477.95001220703125,479.8500061035156,462.8999938964844,465.95001220703125,823728
2026-03-19,454.20001220703125,469.79998779296875,451.8999938964844,469.79998779296875,1710479
2026-03-20,451.54998779296875,462.8500061035156,449.8999938964844,456.3999938964844,1623484
2026-03-23,438.04998779296875,448.0,436.20001220703125,448.0,960419
2026-03-24,448.6000061035156,455.5,441.1000061035156,445.8999938964844,2152093
2026-03-25,462.3500061035156,470.04998779296875,448.6000061035156,450.0,3256950
2026-03-27,454.3500061035156,464.5,448.5,462.0,2740257
2026-03-30,434.1000061035156,447.75,430.5,441.6000061035156,5165320
2026-04-01,443.70001220703125,452.6000061035156,437.8999938964844,448.04998779296875,2942527
2026-04-02,446.54998779296875,451.3999938964844,431.0,433.75,2727623
2026-04-06,461.1000061035156,464.79998779296875,434.8999938964844,446.54998779296875,2531547
2026-04-07,413.1499938964844,440.0,408.79998779296875,440.0,26718173
2026-04-08,435.75,443.29998779296875,423.6000061035156,429.79998779296875,12865710
2026-04-09,427.8500061035156,436.45001220703125,425.6000061035156,433.8999938964844,3101085
2026-04-10,445.0,446.8500061035156,428.75,430.0,3524006
2026-04-13,437.8999938964844,441.1000061035156,430.70001220703125,433.0,2027301
2026-04-15,454.8500061035156,458.3999938964844,443.54998779296875,445.0,3762656
2026-04-16,459.6499938964844,466.54998779296875,452.54998779296875,459.0,2123127
2026-04-17,458.95001220703125,463.8999938964844,441.0,443.54998779296875,2801827
2026-04-20,456.1499938964844,463.54998779296875,447.0,456.6499938964844,1529341
2026-04-21,471.8999938964844,473.45001220703125,453.6000061035156,453.8999938964844,3095871
2026-04-22,493.1000061035156,494.6499938964844,473.29998779296875,474.6000061035156,4625853
2026-04-23,492.8500061035156,498.75,486.0,494.8999938964844,2590534
2026-04-24,491.95001220703125,496.3999938964844,483.6000061035156,493.20001220703125,3003638
2026-04-27,485.1000061035156,498.04998779296875,483.5,496.0,3129078
2026-04-28,482.20001220703125,485.25,475.5,482.75,1642316
