Date,Close,High,Low,Open,Volume
2026-01-28,406.1499938964844,407.8999938964844,383.95001220703125,388.29998779296875,22117381
2026-01-29,428.8500061035156,431.5,411.54998779296875,411.8999938964844,39396481
2026-01-30,385.45001220703125,413.8999938964844,380.1499938964844,413.8999938964844,40709006
2026-02-02,369.70001220703125,371.79998779296875,342.0,347.1000061035156,31185668
2026-02-03,370.8500061035156,391.95001220703125,361.04998779296875,389.8999938964844,27221983
2026-02-04,374.8999938964844,378.5,370.75,371.95001220703125,9413750
2026-02-05,363.8500061035156,365.6000061035156,352.25,360.0,12183411
2026-02-06,354.6499938964844,357.5,349.54998779296875,356.0,12608116
2026-02-09,365.20001220703125,368.8999938964844,358.25,358.25,8166050
2026-02-10,368.6499938964844,370.3500061035156,363.54998779296875,369.0,8272261
2026-02-11,367.70001220703125,371.70001220703125,365.79998779296875,368.1000061035156,9020339
2026-02-12,369.70001220703125,374.45001220703125,366.5,367.5,7845057
2026-02-13,349.29998779296875,361.25,348.3500061035156,360.0,10586115
2026-02-16,348.3999938964844,349.1000061035156,341.5,346.0,9841101
2026-02-17,340.8500061035156,345.5,335.20001220703125,344.5,7660056
2026-02-18,344.04998779296875,344.8999938964844,339.1000061035156,340.5,4668713
2026-02-19,340.1000061035156,351.45001220703125,338.79998779296875,348.0,6492452
2026-02-20,341.20001220703125,342.5,337.75,338.0,5837972
2026-02-23,338.95001220703125,346.79998779296875,336.20001220703125,345.0,4888956
2026-02-24,343.0,345.0,334.3500061035156,339.3999938964844,6380571
2026-02-25,359.79998779296875,361.0,346.6000061035156,347.0,14931791
2026-02-26,361.29998779296875,363.95001220703125,357.75,363.6000061035156,6425639
2026-02-27,354.6000061035156,362.1499938964844,353.20001220703125,357.25,9832443
2026-03-02,362.8500061035156,363.79998779296875,341.0,341.8500061035156,8626089
2026-03-04,373.5,377.29998779296875,357.8999938964844,365.0,26380460
2026-03-05,395.95001220703125,404.29998779296875,376.5,377.0,45535889
2026-03-06,396.1499938964844,402.0,386.75,392.0,15765117
2026-03-09,388.1000061035156,402.45001220703125,384.0,396.0,18671228
2026-03-10,388.75,393.6499938964844,380.6499938964844,390.0,13040542
2026-03-11,397.75,403.3500061035156,390.6499938964844,392.0,16596283
2026-03-12,409.1499938964844,410.20001220703125,385.95001220703125,403.5,20128518
2026-03-13,387.3500061035156,411.70001220703125,381.25,408.6499938964844,28466667
2026-03-16,372.25,390.29998779296875,369.6000061035156,384.25,17935359
2026-03-17,395.1499938964844,396.79998779296875,371.04998779296875,376.0,19748708
2026-03-18,387.6499938964844,395.3500061035156,384.45001220703125,392.0,10667689
2026-03-19,377.0,389.6499938964844,374.25,377.0,10470359
2026-03-20,368.5,382.6499938964844,360.54998779296875,369.04998779296875,34262576
2026-03-23,349.75,361.20001220703125,347.0,357.5,14168007
2026-03-24,354.6499938964844,359.75,350.6499938964844,358.54998779296875,9633884
2026-03-25,367.29998779296875,369.8500061035156,358.45001220703125,359.70001220703125,8500335
2026-03-27,371.0,375.0,362.0,364.5,15922058
2026-03-30,386.1000061035156,394.6000061035156,376.04998779296875,380.0,31797909
2026-04-01,399.45001220703125,406.5,392.29998779296875,396.45001220703125,17296757
2026-04-02,401.79998779296875,403.3999938964844,385.20001220703125,395.95001220703125,9890441
2026-04-06,407.8500061035156,415.79998779296875,401.8999938964844,401.8999938964844,13020935
2026-04-07,411.75,417.3500061035156,407.5,408.0,12271888
2026-04-08,400.1499938964844,417.3500061035156,397.0,415.0,21398906
2026-04-09,412.3500061035156,413.5,398.29998779296875,400.20001220703125,14640678
2026-04-10,417.0,418.5,405.20001220703125,414.5,11970802
2026-04-13,418.04998779296875,421.70001220703125,408.54998779296875,412.04998779296875,13025046
2026-04-15,423.8999938964844,430.0,419.6000061035156,425.1499938964844,11012606
2026-04-16,432.70001220703125,437.0,426.0,429.25,13525794
2026-04-17,438.75,440.0,422.54998779296875,432.0,8471986
2026-04-20,426.6499938964844,433.0,423.79998779296875,433.0,8191733
2026-04-21,422.95001220703125,430.20001220703125,422.45001220703125,426.45001220703125,6184964
2026-04-22,435.95001220703125,437.3500061035156,418.54998779296875,421.75,12617478
2026-04-23,439.25,443.1499938964844,432.3500061035156,435.0,8807600
2026-04-24,437.04998779296875,439.95001220703125,428.20001220703125,436.04998779296875,11786646
2026-04-27,441.0,445.1499938964844,439.3999938964844,442.95001220703125,5256456
2026-04-28,438.70001220703125,444.20001220703125,436.04998779296875,438.0,5600314
