Date,Close,High,Low,Open,Volume
2026-01-28,8012.5,8073.5,7935.5,8049.0,83252
2026-01-29,7837.5,8020.0,7753.0,8020.0,128041
2026-01-30,7760.0,7830.5,7688.0,7830.5,100253
2026-02-02,7734.5,7850.5,7637.5,7850.0,99623
2026-02-03,7826.5,8015.5,7805.5,7920.0,87430
2026-02-04,7517.5,7690.0,7465.5,7690.0,217399
2026-02-05,7450.5,7542.0,7410.0,7497.0,92851
2026-02-06,7264.0,7400.0,7145.0,7350.0,266523
2026-02-09,7269.5,7399.0,7252.5,7398.0,78522
2026-02-10,7342.0,7369.5,7256.0,7299.5,125045
2026-02-11,7217.5,7379.5,7200.0,7350.0,74734
2026-02-12,6764.0,7184.5,6731.5,7165.0,370703
2026-02-13,6639.0,6711.0,6400.0,6648.0,437097
2026-02-16,6699.0,6758.5,6609.0,6639.0,155949
2026-02-17,6845.0,6912.0,6672.5,6698.0,215007
2026-02-18,6714.5,6877.5,6674.0,6877.5,151155
2026-02-19,6652.0,6799.5,6625.0,6750.0,140373
2026-02-20,6642.5,6694.0,6593.0,6650.0,91354
2026-02-23,6669.5,6699.0,6566.5,6645.0,123441
2026-02-24,6454.0,6646.5,6399.5,6605.0,212873
2026-02-25,6612.0,6670.0,6519.0,6519.0,148595
2026-02-26,6856.5,6880.0,6631.0,6651.0,254463
2026-02-27,6932.0,6985.0,6835.0,6904.0,257521
2026-03-02,6848.0,6980.5,6755.0,6755.0,106501
2026-03-04,6832.0,6890.5,6771.5,6799.5,122604
2026-03-05,6789.5,6886.0,6739.0,6860.5,102857
2026-03-06,6718.0,6914.0,6690.0,6761.0,91716
2026-03-09,6712.5,6732.0,6569.5,6650.0,94042
2026-03-10,6824.0,6840.5,6724.0,6770.5,103676
2026-03-11,6792.0,6995.5,6745.0,6924.0,183088
2026-03-12,6694.5,6796.0,6667.0,6796.0,82424
2026-03-13,6526.0,6686.0,6500.0,6677.0,96014
2026-03-16,6414.0,6525.0,6317.0,6516.0,124430
2026-03-17,6302.0,6450.0,6234.5,6450.0,163871
2026-03-18,6594.5,6666.0,6314.5,6315.0,321179
2026-03-19,6368.5,6539.5,6340.0,6501.0,113659
2026-03-20,6580.0,6675.0,6440.0,6450.0,200334
2026-03-23,6445.0,6535.0,6401.0,6490.0,118364
2026-03-24,6605.5,6675.0,6468.0,6610.0,167921
2026-03-25,6599.0,6709.0,6554.5,6594.5,168716
2026-03-27,6947.0,7062.0,6800.0,6800.0,980855
2026-03-30,6731.0,6861.5,6681.0,6810.5,272945
2026-04-01,6883.0,7023.0,6836.0,6950.0,155077
2026-04-02,6992.5,7019.5,6705.0,6800.0,157651
2026-04-06,7017.0,7054.0,6943.0,6999.5,97867
2026-04-07,7192.0,7210.0,6943.0,6988.5,153224
2026-04-08,7180.0,7335.0,7144.0,7292.0,172022
2026-04-09,7217.5,7246.5,7085.5,7188.0,136188
2026-04-10,7253.5,7279.5,7093.0,7279.5,151932
2026-04-13,7164.5,7211.5,7077.0,7200.5,68906
2026-04-15,7542.5,7565.5,7264.5,7298.0,191551
2026-04-16,7776.0,7791.5,7590.0,7650.0,211647
2026-04-17,7992.5,8020.0,7716.0,7795.0,175320
2026-04-20,8082.5,8175.0,7917.5,8063.5,271398
2026-04-21,7931.0,8167.5,7885.0,8130.0,215428
2026-04-22,8126.5,8168.0,7837.0,7878.0,439033
2026-04-23,8791.5,8900.0,8261.0,8430.0,2646355
2026-04-24,8949.0,9013.5,8752.5,8820.0,590278
2026-04-27,9360.0,9490.0,9010.0,9050.0,843945
2026-04-28,9594.0,9599.0,9380.0,9400.0,366980
