Date,Close,High,Low,Open,Volume
2026-01-28,17683.0,17750.0,16740.0,16740.0,131450
2026-01-29,18322.0,18538.0,17798.0,17800.0,260523
2026-01-30,18862.0,18925.0,18100.0,18200.0,150302
2026-02-02,18978.0,19050.0,18273.0,18363.0,174818
2026-02-03,19701.0,20500.0,19512.0,19900.0,215011
2026-02-04,19043.0,19863.0,18806.0,19695.0,186618
2026-02-05,19199.0,19321.0,18674.0,19099.0,135828
2026-02-06,21871.0,22077.0,20556.0,20900.0,993958
2026-02-09,22511.0,22550.0,21827.0,21900.0,269552
2026-02-10,22457.0,22725.0,22253.0,22551.0,123059
2026-02-11,22731.0,22888.0,22296.0,22375.0,124466
2026-02-12,22702.0,23140.0,22600.0,22638.0,164420
2026-02-13,22418.0,22679.0,22225.0,22500.0,72497
2026-02-16,22824.0,22870.0,22350.0,22450.0,61541
2026-02-17,22977.0,23040.0,22655.0,22770.0,46797
2026-02-18,23569.0,23717.0,22865.0,23050.0,132383
2026-02-19,22851.0,23599.0,22770.0,23583.0,84278
2026-02-20,23871.0,23998.0,22700.0,22700.0,218752
2026-02-23,24243.0,24370.0,23827.0,23871.0,123306
2026-02-24,24903.0,25000.0,24000.0,24101.0,139000
2026-02-25,24986.0,25275.0,24769.0,24903.0,120875
2026-02-26,25401.0,25470.0,24932.0,24973.0,93336
2026-02-27,25562.0,25799.0,25300.0,25340.0,126705
2026-03-02,25500.0,25850.0,24400.0,24500.0,118951
2026-03-04,24500.0,25195.0,24195.0,25160.0,159680
2026-03-05,25305.0,25465.0,24645.0,24700.0,111078
2026-03-06,25860.0,26160.0,25320.0,25500.0,111188
2026-03-09,25160.0,25455.0,24425.0,25400.0,144230
2026-03-10,25225.0,26325.0,25000.0,25700.0,195888
2026-03-11,24955.0,25645.0,24805.0,25225.0,134572
2026-03-12,24880.0,25325.0,24385.0,24995.0,142729
2026-03-13,24165.0,25175.0,24100.0,24990.0,102198
2026-03-16,24205.0,24405.0,23400.0,24195.0,138189
2026-03-17,24710.0,24795.0,24180.0,24495.0,95146
2026-03-18,24975.0,25250.0,24485.0,24700.0,94865
2026-03-19,24650.0,24880.0,24335.0,24675.0,80351
2026-03-20,25025.0,25680.0,24870.0,24930.0,180060
2026-03-23,24255.0,24970.0,23970.0,24845.0,131323
2026-03-24,25025.0,25400.0,24530.0,25085.0,146462
2026-03-25,25670.0,25850.0,25245.0,25300.0,111610
2026-03-27,24685.0,25545.0,24500.0,25500.0,187461
2026-03-30,24235.0,24735.0,24000.0,24265.0,126517
2026-04-01,25065.0,25595.0,24910.0,25240.0,123682
2026-04-02,25325.0,25420.0,24180.0,24925.0,112632
2026-04-06,25015.0,26180.0,24920.0,25350.0,130996
2026-04-07,25030.0,25215.0,24665.0,24930.0,89225
2026-04-08,25915.0,26155.0,25145.0,25600.0,151238
2026-04-09,27315.0,27500.0,25865.0,26080.0,255940
2026-04-10,28425.0,28510.0,27525.0,27680.0,301315
2026-04-13,28325.0,28860.0,27715.0,27800.0,214351
2026-04-15,28435.0,29095.0,28350.0,28850.0,163350
2026-04-16,28255.0,28575.0,27670.0,28435.0,171282
2026-04-17,28925.0,28970.0,28180.0,28500.0,105178
2026-04-20,29645.0,29900.0,28960.0,29250.0,181052
2026-04-21,29890.0,30400.0,29760.0,29960.0,170096
2026-04-22,30335.0,30470.0,29825.0,29905.0,112170
2026-04-23,31720.0,31875.0,30365.0,30365.0,193846
2026-04-24,32200.0,32295.0,31000.0,31780.0,164360
2026-04-27,32065.0,32550.0,31835.0,32340.0,124497
2026-04-28,32455.0,32540.0,31865.0,32200.0,70157
