Date,Close,High,Low,Open,Volume
,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS
2026-01-28,5676.73681640625,5743.201013295585,5605.312604823681,5702.528892811067,168889
2026-01-29,5667.31298828125,5704.017098305127,5568.608692406231,5704.017098305127,64418
2026-01-30,5632.0966796875,5704.016892682189,5594.896569517834,5644.496716410722,160841
2026-02-02,5477.34423828125,5571.088516198044,5362.767898605168,5571.088516198044,129255
2026-02-03,5656.89697265625,5701.041105103985,5582.992750917909,5668.305006884317,175751
2026-02-04,5608.28857421875,5682.192792628461,5589.936519982782,5632.592646044762,78850
2026-02-05,5617.216796875,5653.4249051462475,5539.840565500828,5605.312761278974,108123
2026-02-06,5638.544921875,5660.368987371349,5524.464579507719,5637.5529188978935,52719
2026-02-09,5704.51318359375,5753.6173315092165,5624.656943044355,5653.921031195996,227955
2026-02-10,5765.025390625,5786.353454962681,5687.15315571765,5704.017206589306,84505
2026-02-11,5842.8974609375,5867.697535050138,5699.0570310842,5793.297312712224,78718
2026-02-12,5823.55322265625,5858.76932680484,5763.537045163583,5846.865291599683,70024
2026-02-13,5359.2958984375,5803.217215337228,5288.863689499219,5803.217215337228,605115
2026-02-16,5436.67236328125,5492.720531974871,5321.104015443961,5387.568215487723,132794
2026-02-17,5412.8642578125,5465.936417217424,5372.192135651717,5456.016387422111,74670
2026-02-18,5420.30419921875,5439.648257030749,5358.304013923879,5416.336187359878,83592
2026-02-19,5334.0,5472.880416589176,5307.71192114562,5472.880416589176,190955
2026-02-20,5392.0,5401.5,5328.5,5330.0,66662
2026-02-23,5490.5,5504.0,5395.5,5415.0,139365
2026-02-24,5495.5,5508.5,5448.0,5500.0,119453
2026-02-25,5625.0,5655.0,5468.0,5508.5,231439
2026-02-26,5752.0,5764.5,5622.5,5635.0,84228
2026-02-27,5639.5,5781.5,5614.0,5752.0,131566
2026-03-02,5566.0,5619.5,5415.0,5415.0,54260
2026-03-04,5466.5,5536.0,5432.0,5489.5,87647
2026-03-05,5550.0,5573.5,5454.0,5476.5,96348
2026-03-06,5530.0,5583.0,5497.0,5580.0,41269
2026-03-09,5460.0,5518.5,5421.0,5500.0,41694
2026-03-10,5616.5,5664.5,5500.0,5509.5,127594
2026-03-11,5544.5,5665.0,5514.5,5662.0,147779
2026-03-12,5444.0,5528.0,5400.0,5515.5,121868
2026-03-13,5355.5,5471.5,5335.5,5422.0,103318
2026-03-16,5323.0,5407.0,5233.0,5393.0,204293
2026-03-17,5333.5,5350.0,5285.0,5317.0,127237
2026-03-18,5351.5,5423.0,5315.0,5335.0,65448
2026-03-19,5240.0,5336.0,5222.5,5309.0,60008
2026-03-20,5257.5,5298.5,5211.0,5245.0,325586
2026-03-23,5144.5,5272.5,5111.5,5260.0,110544
2026-03-24,5297.0,5304.5,5160.5,5200.0,79204
2026-03-25,5435.5,5464.0,5311.5,5355.0,61346
2026-03-27,5344.5,5419.5,5259.0,5401.0,145051
2026-03-30,5299.0,5345.5,5252.0,5291.0,182729
2026-04-01,5244.5,5454.0,5210.0,5320.5,119101
2026-04-02,5258.0,5276.5,5075.0,5210.5,70183
2026-04-06,5236.5,5305.5,5155.0,5273.5,81489
2026-04-07,5172.5,5246.5,5142.0,5236.5,136756
2026-04-08,5246.0,5295.5,5214.5,5278.0,145626
2026-04-09,5370.5,5386.5,5181.5,5269.0,128017
2026-04-10,5440.0,5451.5,5353.5,5390.0,80490
2026-04-13,5364.5,5432.0,5308.5,5380.0,165527
2026-04-15,5575.5,5599.0,5350.0,5440.0,191897
2026-04-16,5570.0,5688.0,5528.5,5639.0,115380
2026-04-17,5582.0,5614.5,5501.5,5570.0,126039
2026-04-20,5642.0,5676.5,5534.0,5582.0,64218
2026-04-21,5696.5,5718.5,5627.0,5664.0,127553
2026-04-22,5627.0,5735.0,5539.0,5685.0,199874
2026-04-23,5520.5,5579.5,5432.5,5545.5,161346
2026-04-24,5235.0,5578.5,5193.5,5572.5,170430
2026-04-27,5344.0,5486.0,5248.0,5280.0,212162
2026-04-28,5410.0,5410.0,5315.0,5344.0,39061
