Date,Close,High,Low,Open,Volume
,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS
2026-01-28,6868.38134765625,6880.864774315021,6775.504653314987,6789.486091172812,399249
2026-01-29,6791.98291015625,6889.8529770868945,6747.042573300342,6889.8529770868945,517720
2026-01-30,6951.271484375,6965.252922602318,6758.0280345902775,6778.001517772161,489138
2026-02-02,6924.30712890625,6940.78525216679,6821.9430298635025,6905.831657371706,343776
2026-02-03,7079.1015625,7154.002122165303,6993.215587417119,7060.6260911158915,438009
2026-02-04,7106.5654296875,7150.507093389896,7040.6529341339065,7070.61315938554,216137
2026-02-05,7112.55712890625,7123.542544297708,7033.661872913046,7106.5650841472725,234707
2026-02-06,7143.01708984375,7166.985270222114,6984.727231928303,7070.613211617441,668962
2026-02-09,7201.439453125,7270.347970981833,7154.002429962687,7189.455363062942,412161
2026-02-10,7209.4287109375,7270.847171350667,7175.473789733472,7240.387609682349,277132
2026-02-11,7497.046875,7629.870537498335,7395.182111279472,7395.182111279472,1496488
2026-02-12,7529.00439453125,7569.450697486352,7400.175429563146,7502.040192561181,434146
2026-02-13,7532.5,7587.9264169705,7475.076234670202,7508.032482598607,431623
2026-02-16,7618.0,7631.0,7478.0,7526.5,494924
2026-02-17,7601.5,7615.0,7554.5,7590.0,525344
2026-02-18,7647.5,7670.0,7590.0,7590.0,385965
2026-02-19,7592.5,7649.0,7551.5,7610.0,186713
2026-02-20,7615.5,7635.0,7540.0,7540.0,256304
2026-02-23,7693.0,7710.0,7615.5,7680.0,399710
2026-02-24,7720.5,7729.5,7658.0,7658.0,377143
2026-02-25,7783.0,7800.0,7714.0,7770.5,383833
2026-02-26,7775.0,7831.0,7729.0,7800.0,361759
2026-02-27,7821.5,7870.5,7731.5,7735.5,698131
2026-03-02,7791.5,7819.0,7605.0,7621.0,533503
2026-03-04,7666.0,7715.0,7476.0,7620.0,625428
2026-03-05,7775.0,7796.5,7635.0,7700.0,446578
2026-03-06,7724.5,7781.0,7669.0,7770.0,225749
2026-03-09,7779.0,7809.0,7556.0,7588.0,358612
2026-03-10,7803.0,7870.0,7770.0,7865.0,381453
2026-03-11,7684.0,7798.5,7659.0,7770.5,331690
2026-03-12,7574.5,7662.5,7542.5,7590.0,550020
2026-03-13,7550.0,7616.0,7485.5,7556.0,394082
2026-03-16,7490.0,7750.0,7410.0,7565.0,481339
2026-03-17,7500.0,7574.5,7470.0,7490.0,343558
2026-03-18,7471.0,7605.0,7455.5,7511.5,497712
2026-03-19,7252.0,7407.0,7229.0,7407.0,264884
2026-03-20,7364.5,7447.5,7202.5,7231.5,696455
2026-03-23,7145.0,7288.0,7080.0,7288.0,464969
2026-03-24,7413.0,7464.0,7199.0,7210.0,653790
2026-03-25,7580.5,7612.5,7437.5,7461.0,450043
2026-03-27,7549.0,7621.0,7510.0,7510.0,533512
2026-03-30,7419.0,7509.5,7360.5,7470.0,764508
2026-04-01,7305.5,7587.0,7250.5,7549.0,618068
2026-04-02,7317.5,7368.0,7150.5,7150.5,338111
2026-04-06,7373.0,7397.0,7243.0,7350.0,360086
2026-04-07,7326.5,7370.5,7220.5,7370.5,311560
2026-04-08,7401.5,7518.0,7332.5,7385.0,387242
2026-04-09,7481.5,7512.0,7364.0,7400.0,416753
2026-04-10,7511.5,7563.0,7461.5,7500.0,437163
2026-04-13,7516.5,7566.0,7403.5,7420.0,310575
2026-04-15,7642.0,7686.0,7500.0,7516.5,464570
2026-04-16,7553.0,7678.0,7510.0,7678.0,400487
2026-04-17,7699.0,7710.0,7515.0,7553.0,343875
2026-04-20,7657.0,7730.5,7622.0,7705.0,344019
2026-04-21,7744.0,7765.0,7667.5,7686.5,312758
2026-04-22,7662.0,7801.5,7615.0,7702.0,608446
2026-04-23,7781.0,7815.0,7601.0,7685.0,304110
2026-04-24,7732.5,7845.0,7684.5,7814.0,407458
2026-04-27,7825.0,7850.0,7735.0,7759.0,289661
2026-04-28,7754.0,7878.5,7711.0,7840.0,149012
