Date,Close,High,Low,Open,Volume
,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS
2026-01-28,5748.5,5924.0,5680.0,5924.0,442618
2026-01-29,5723.0,5733.0,5693.0,5711.5,343244
2026-01-30,5860.5,5887.5,5710.5,5723.0,806045
2026-02-02,5888.5,5899.0,5697.5,5733.0,279213
2026-02-03,5882.0,5975.5,5821.0,5920.0,349825
2026-02-04,5879.0,5965.0,5855.0,5899.5,160343
2026-02-05,5870.5,5946.5,5844.5,5855.0,275290
2026-02-06,5911.0,5917.0,5805.0,5870.0,186858
2026-02-09,5843.0,5915.5,5792.5,5900.5,331118
2026-02-10,5873.5,5893.5,5847.0,5874.0,276901
2026-02-11,6019.0,6156.0,5973.5,6000.0,771051
2026-02-12,6102.0,6148.0,6020.0,6057.0,455997
2026-02-13,5980.5,6098.5,5968.0,6080.0,159821
2026-02-16,6106.0,6134.0,5964.5,5980.0,255274
2026-02-17,6145.5,6154.5,6066.5,6106.0,164220
2026-02-18,6176.0,6190.0,6116.0,6161.0,193569
2026-02-19,6108.5,6198.0,6093.5,6170.0,127940
2026-02-20,6098.5,6137.5,6066.5,6109.0,388361
2026-02-23,6122.5,6150.0,6042.0,6136.0,225252
2026-02-24,6162.5,6173.5,6065.5,6083.0,193510
2026-02-25,6158.0,6208.5,6140.0,6170.0,253773
2026-02-26,6137.0,6187.0,6070.0,6158.0,245317
2026-02-27,6002.5,6142.5,5975.0,6135.5,350612
2026-03-02,5959.0,6001.0,5866.0,5866.0,185417
2026-03-04,5889.5,5924.0,5845.5,5901.5,293377
2026-03-05,5963.0,5997.5,5851.0,5899.0,211179
2026-03-06,5983.0,6013.0,5926.5,5948.0,348722
2026-03-09,5890.0,5932.5,5815.5,5930.0,245594
2026-03-10,5968.0,5995.0,5911.0,5911.0,283327
2026-03-11,5921.5,5995.0,5900.0,5981.0,298621
2026-03-12,5787.0,5910.0,5713.0,5910.0,996754
2026-03-13,5808.5,5881.0,5727.0,5750.0,738522
2026-03-16,5842.0,5872.5,5764.5,5808.5,350827
2026-03-17,5857.5,5868.5,5801.5,5849.0,260165
2026-03-18,5885.0,5914.0,5842.0,5860.5,301564
2026-03-19,5673.5,5852.0,5642.5,5799.0,234382
2026-03-20,5618.5,5749.5,5592.0,5735.0,462806
2026-03-23,5490.0,5590.5,5475.5,5590.0,316325
2026-03-24,5513.5,5600.0,5404.5,5590.0,542905
2026-03-25,5647.0,5737.5,5536.5,5536.5,342559
2026-03-27,5500.0,5627.0,5483.0,5600.0,378825
2026-03-30,5423.0,5533.0,5364.5,5480.0,783793
2026-04-01,5474.0,5538.0,5433.5,5520.0,252740
2026-04-02,5442.0,5471.0,5351.5,5460.0,444248
2026-04-06,5535.0,5548.0,5402.0,5420.0,228390
2026-04-07,5542.0,5552.5,5384.0,5493.0,204113
2026-04-08,5594.5,5698.5,5556.0,5698.5,482250
2026-04-09,5475.0,5659.5,5430.5,5620.0,624921
2026-04-10,5557.5,5570.0,5405.0,5500.0,339513
2026-04-13,5589.0,5613.0,5444.0,5526.5,350782
2026-04-15,5654.5,5724.0,5600.5,5670.0,542939
2026-04-16,5586.0,5705.5,5534.5,5640.0,455115
2026-04-17,5735.5,5750.0,5568.5,5601.5,345936
2026-04-20,5700.0,5762.5,5640.5,5736.0,610941
2026-04-21,5837.5,5864.5,5685.0,5715.0,270416
2026-04-22,5729.5,5924.0,5716.5,5874.0,550506
2026-04-23,5671.5,5728.0,5640.5,5724.0,408915
2026-04-24,5730.5,5753.5,5665.5,5707.5,470926
2026-04-27,5717.5,5804.0,5689.0,5750.0,658091
2026-04-28,5654.0,5735.0,5641.0,5723.0,133485
