Date,Close,High,Low,Open,Volume
,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS
2026-01-28,6188.0,6256.0,6062.0,6100.0,335259
2026-01-29,6041.0,6222.0,5991.5,6181.5,405502
2026-01-30,6051.0,6080.0,5974.5,6041.0,347165
2026-02-02,5952.5,6056.5,5890.0,6056.0,400656
2026-02-03,6209.0,6304.5,6150.0,6150.0,454227
2026-02-04,6054.5,6225.0,6021.5,6225.0,327213
2026-02-05,6141.5,6173.0,5936.0,6054.0,370561
2026-02-06,6024.5,6099.5,5939.0,6081.5,433945
2026-02-09,6113.5,6150.0,6041.0,6079.0,219396
2026-02-10,6175.5,6228.0,6151.0,6153.0,237887
2026-02-11,6386.5,6793.0,6126.0,6194.0,1263189
2026-02-12,6185.0,6448.0,6131.5,6448.0,1200795
2026-02-13,6168.5,6200.0,6054.0,6141.0,299364
2026-02-16,6149.5,6222.0,6008.5,6105.5,175634
2026-02-17,6187.5,6230.0,6102.5,6125.5,151261
2026-02-18,6283.5,6299.0,6165.0,6165.0,438670
2026-02-19,6297.5,6350.0,6251.0,6255.0,185828
2026-02-20,6291.0,6320.0,6251.5,6297.5,338573
2026-02-23,6293.5,6343.5,6245.5,6337.0,97285
2026-02-24,6255.5,6293.5,6226.5,6255.0,92139
2026-02-25,6395.5,6418.0,6250.0,6254.5,348440
2026-02-26,6474.0,6564.5,6376.0,6442.0,392374
2026-02-27,6408.5,6475.0,6383.5,6424.0,466870
2026-03-02,6403.5,6419.0,6263.5,6271.5,300339
2026-03-04,6316.0,6363.5,6238.5,6340.0,369392
2026-03-05,6364.5,6395.0,6300.0,6316.5,291293
2026-03-06,6329.0,6428.0,6315.0,6340.0,269349
2026-03-09,6330.0,6364.0,6173.5,6277.0,260778
2026-03-10,6372.0,6479.0,6354.0,6364.5,298252
2026-03-11,6352.5,6450.0,6330.0,6373.0,254117
2026-03-12,6282.0,6330.5,6221.0,6330.0,153876
2026-03-13,6071.0,6326.0,6055.0,6275.0,200936
2026-03-16,6071.0,6130.0,5927.0,6010.0,282845
2026-03-17,6086.5,6147.0,6051.5,6074.0,183604
2026-03-18,6140.0,6183.0,6086.5,6086.5,180112
2026-03-19,5972.5,6117.0,5955.0,6100.0,122495
2026-03-20,6100.0,6180.0,6030.5,6050.0,283471
2026-03-23,6013.5,6047.0,5982.0,6036.5,227221
2026-03-24,6026.0,6092.0,5946.0,6090.0,228968
2026-03-25,6014.5,6137.5,5996.5,6026.0,250204
2026-03-27,5997.5,6060.0,5935.0,6011.5,540647
2026-03-30,5947.0,5990.0,5901.5,5960.0,492229
2026-04-01,5906.5,6123.0,5834.0,6002.0,546653
2026-04-02,5856.5,5869.5,5647.5,5851.0,513534
2026-04-06,5821.0,5903.5,5727.0,5860.0,346192
2026-04-07,5850.0,5907.0,5708.0,5788.0,347412
2026-04-08,5882.0,5984.5,5870.0,5920.0,302280
2026-04-09,5952.5,5964.0,5852.0,5852.0,237284
2026-04-10,6116.5,6130.0,5931.0,5931.0,334871
2026-04-13,6070.0,6116.0,5970.0,6009.0,211392
2026-04-15,6177.5,6184.0,6101.0,6124.0,251355
2026-04-16,6293.5,6313.0,6180.0,6200.0,350424
2026-04-17,6229.0,6325.0,6212.0,6305.5,169295
2026-04-20,6280.0,6298.0,6187.5,6269.5,208547
2026-04-21,6286.0,6305.0,6238.5,6282.0,242433
2026-04-22,6285.5,6323.5,6249.0,6286.0,226547
2026-04-23,6378.5,6469.5,6250.5,6265.0,405157
2026-04-24,6361.5,6442.5,6320.0,6408.5,316970
2026-04-27,6477.0,6507.5,6346.5,6351.5,289657
2026-04-28,6461.0,6505.0,6427.5,6505.0,93940
