Date,Close,High,Low,Open,Volume
,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS
2026-01-28,32497.171875,32631.684160853903,32113.562763490725,32382.58733519853,13150
2026-01-29,32895.7265625,33000.34722853248,32108.580599017492,32492.18970780327,18462
2026-01-30,32875.80078125,33134.86149357384,32606.776195375245,32875.80078125,21403
2026-02-02,32646.630859375,32880.781881867086,32282.949484014956,32721.35990910652,10777
2026-02-03,33618.109375,34400.273449077504,33224.536369572466,34071.465621758296,41461
2026-02-04,34300.6328125,34494.92833605665,33179.697099673205,33877.168209876545,28306
2026-02-05,35511.2421875,36163.875847230986,33787.49221599677,34325.5413400498,64590
2026-02-06,35431.53125,35541.13384947975,34081.42650186305,34325.5413825225,34565
2026-02-09,34729.078125,35600.91698196098,34300.63160100775,35551.097618706066,58241
2026-02-10,34475.0,34933.33815028902,34350.451589595374,34898.46459537572,14181
2026-02-11,34360.0,34660.0,34035.0,34600.0,35668
2026-02-12,33850.0,34425.0,33670.0,34425.0,18308
2026-02-13,33530.0,34065.0,33300.0,33545.0,15457
2026-02-16,33425.0,33695.0,33230.0,33550.0,8016
2026-02-17,33685.0,33810.0,33230.0,33345.0,6156
2026-02-18,33440.0,33950.0,33250.0,33880.0,8975
2026-02-19,32595.0,33600.0,32490.0,33600.0,19153
2026-02-20,32740.0,33135.0,32465.0,32695.0,9328
2026-02-23,33070.0,33280.0,32740.0,32800.0,13411
2026-02-24,33160.0,33400.0,32725.0,33150.0,23524
2026-02-25,32725.0,33555.0,32635.0,33285.0,15961
2026-02-26,32255.0,32795.0,32180.0,32725.0,15336
2026-02-27,32110.0,32410.0,31740.0,32255.0,78391
2026-03-02,31175.0,31780.0,30830.0,31000.0,21570
2026-03-04,30980.0,31130.0,30600.0,30835.0,22570
2026-03-05,31525.0,31795.0,30940.0,30950.0,31871
2026-03-06,31595.0,31825.0,31230.0,31365.0,24708
2026-03-09,31145.0,31350.0,30820.0,30940.0,11361
2026-03-10,31535.0,31745.0,30955.0,31270.0,20230
2026-03-11,31595.0,32040.0,31330.0,31545.0,15818
2026-03-12,30860.0,31555.0,30730.0,31550.0,19162
2026-03-13,30285.0,30845.0,30010.0,30845.0,25467
2026-03-16,30200.0,30350.0,29805.0,30280.0,17643
2026-03-17,30515.0,30675.0,30200.0,30200.0,8132
2026-03-18,31720.0,31840.0,30480.0,30600.0,16958
2026-03-19,31225.0,31555.0,31050.0,31555.0,17805
2026-03-20,32005.0,32500.0,31320.0,31495.0,23953
2026-03-23,31345.0,31850.0,31130.0,31845.0,18344
2026-03-24,32170.0,32335.0,31330.0,32000.0,14942
2026-03-25,32635.0,33450.0,32180.0,32350.0,30727
2026-03-27,31805.0,32425.0,31595.0,32400.0,35185
2026-03-30,31775.0,32310.0,31260.0,31505.0,41114
2026-04-01,32620.0,32820.0,32000.0,32305.0,18816
2026-04-02,33945.0,34080.0,32225.0,32580.0,77315
2026-04-06,34750.0,34880.0,33745.0,33945.0,29444
2026-04-07,35040.0,35310.0,34305.0,34500.0,30137
2026-04-08,35325.0,35830.0,35200.0,35750.0,17642
2026-04-09,35950.0,36180.0,35070.0,35405.0,24097
2026-04-10,36055.0,36480.0,35500.0,35640.0,46384
2026-04-13,35850.0,36400.0,35505.0,35700.0,23574
2026-04-15,36530.0,36985.0,36070.0,36100.0,62846
2026-04-16,36980.0,37095.0,36435.0,36800.0,16695
2026-04-17,37975.0,38275.0,37080.0,37085.0,65200
2026-04-20,38405.0,38500.0,37320.0,37900.0,48678
2026-04-21,37960.0,38500.0,37910.0,38405.0,17653
2026-04-22,37855.0,38150.0,37750.0,38015.0,41546
2026-04-23,37965.0,38285.0,37270.0,37830.0,30053
2026-04-24,37665.0,38250.0,37565.0,37900.0,17217
2026-04-27,37705.0,38190.0,37325.0,37765.0,18426
2026-04-28,37240.0,37800.0,37205.0,37800.0,7578
