Date,Close,High,Low,Open,Volume
,POLYCAB.NS,POLYCAB.NS,POLYCAB.NS,POLYCAB.NS,POLYCAB.NS
2026-01-28,6928.0,6938.5,6802.5,6829.0,351390
2026-01-29,7017.5,7034.0,6850.0,6900.0,339387
2026-01-30,7013.5,7037.5,6915.0,7029.5,396287
2026-02-02,7036.5,7070.0,6800.0,6800.5,292881
2026-02-03,7505.0,7699.5,7360.0,7400.0,916405
2026-02-04,7630.0,7666.0,7420.0,7504.0,354745
2026-02-05,7536.5,7613.0,7503.0,7600.0,194719
2026-02-06,7623.5,7643.5,7524.0,7536.5,142827
2026-02-09,7788.0,7844.5,7645.5,7679.0,262430
2026-02-10,7742.5,7794.0,7706.0,7790.0,131347
2026-02-11,7814.0,7825.0,7756.0,7789.5,119349
2026-02-12,7768.0,7799.0,7730.0,7781.0,145735
2026-02-13,7587.5,7764.0,7565.0,7760.5,160046
2026-02-16,7636.0,7674.0,7536.0,7617.5,107865
2026-02-17,7742.0,7754.5,7616.0,7650.0,90445
2026-02-18,7830.0,7838.5,7753.5,7777.0,162110
2026-02-19,7778.0,7898.5,7720.0,7830.0,264268
2026-02-20,7869.0,7932.0,7710.0,7780.0,393536
2026-02-23,7974.0,8005.0,7830.0,7939.0,328097
2026-02-24,8120.5,8147.5,7911.0,7969.0,858763
2026-02-25,8348.5,8407.5,8119.5,8120.5,886874
2026-02-26,8506.0,8539.5,8345.0,8348.5,629664
2026-02-27,8610.5,8722.0,8469.5,8502.0,926904
2026-03-02,8548.5,8696.5,8400.0,8400.0,653618
2026-03-04,8284.0,8475.0,8266.5,8420.0,485905
2026-03-05,8564.0,8586.0,8272.0,8331.0,504469
2026-03-06,8552.0,8630.0,8480.0,8562.0,287941
2026-03-09,8228.5,8455.0,8180.0,8450.0,498043
2026-03-10,7723.0,8363.0,7684.0,8363.0,1056999
2026-03-11,7429.5,7707.5,7383.0,7690.0,1095711
2026-03-12,7455.0,7538.0,7282.0,7400.0,498945
2026-03-13,7193.5,7429.5,7118.0,7429.5,629203
2026-03-16,7127.0,7224.5,7008.0,7203.0,459070
2026-03-17,7166.5,7194.5,7050.0,7150.0,353172
2026-03-18,7374.5,7409.0,7176.5,7200.0,683932
2026-03-19,7180.0,7288.0,7101.5,7277.0,642482
2026-03-20,7171.0,7346.5,7126.0,7205.0,450944
2026-03-23,6795.0,7100.0,6750.0,7100.0,652615
2026-03-24,7064.5,7141.0,6774.5,7001.5,902790
2026-03-25,7145.0,7271.0,7104.0,7120.0,491517
2026-03-27,7067.0,7109.5,6935.0,7046.0,580456
2026-03-30,6843.5,7017.5,6800.0,6941.5,550269
2026-04-01,6925.0,7188.0,6882.0,7148.5,424350
2026-04-02,6878.0,6906.0,6690.5,6860.0,387042
2026-04-06,7047.0,7075.0,6817.0,6925.0,345105
2026-04-07,7227.0,7239.5,6942.5,7035.5,344147
2026-04-08,7600.5,7648.5,7442.0,7450.0,713512
2026-04-09,7607.0,7663.5,7515.5,7599.0,419514
2026-04-10,7728.0,7804.0,7632.5,7632.5,490409
2026-04-13,7548.0,7604.0,7435.5,7511.5,493179
2026-04-15,7791.0,7855.0,7675.0,7675.0,494604
2026-04-16,7903.5,7930.0,7772.5,7845.0,272451
2026-04-17,8182.5,8224.5,7910.0,7950.0,683294
2026-04-20,8198.5,8285.0,8049.0,8182.5,403635
2026-04-21,7955.5,8305.0,7925.5,8200.0,443095
2026-04-22,8038.0,8103.0,7897.0,7945.0,468978
2026-04-23,7963.5,8125.0,7950.0,8000.0,482518
2026-04-24,8033.0,8088.0,7901.0,8000.0,616686
2026-04-27,8065.5,8147.0,8020.0,8087.5,291146
2026-04-28,8175.5,8188.0,8040.0,8040.0,173385
